,GeneStableID,GeneName,Gene description,baseMean,log2FoldChange,FoldChange,pvalue,padj,neglogpadj,Ctrl_rep1,Ctrl_rep2,dnBMPR1A_rep1,dnBMPR1A_rep2,lfcSE,stat
5054,ENSGALG00000005331,GJC2,gap junction protein gamma 2 [Source:NCBI gene;Acc:420397],992.6846864035319,1.7916670363334297,3.4621471311424474,5.92310233950373e-10,4.58546839449914e-07,6.338616295597779,360.322132681362,529.124607829959,1173.51577748361,1907.7762276191897,0.289330248194823,6.19246362076529
5180,ENSGALG00000000242,EBF2,early B-cell factor 2 [Source:NCBI gene;Acc:395176],651.344456610287,1.7744637411956399,3.421108218957756,5.47444379126394e-10,4.58546839449914e-07,6.338616295597779,252.85763696937698,336.12802312409303,827.828959310144,1188.56320703754,0.28597950208160805,6.204863384541709
5404,ENSGALG00000054080,RIPPLY3,ripply transcriptional repressor 3 [Source:NCBI gene;Acc:101749102],683.682021450345,1.5841611928816501,2.998334189849375,1.38262735025385e-09,9.88046775681406e-07,6.005222494744906,317.125619699094,366.601168077651,1158.35407493214,892.6472230924941,0.26152109811238894,6.05748906805545
5428,ENSGALG00000035016,ID2,"inhibitor of DNA binding 2, HLH protein [Source:NCBI gene;Acc:395852]",48676.3777530266,-1.38473987255222,0.38295854300440474,3.3842691910763897e-09,1.96499129906873e-06,5.706639368329167,84933.8266845264,55855.4278426017,31986.138482746603,21930.1180022317,0.23423393290490802,-5.91178167645926
7815,ENSGALG00000015013,MSX1,msh homeobox 1 [Source:NCBI gene;Acc:396484],2933.59122590305,-1.34067654591136,0.3948354560459944,3.2356859947361894e-09,1.96499129906873e-06,5.706639368329167,4864.34879119839,3548.73624413706,1427.2216001781699,1894.0582680985601,0.22649735373952898,-5.919170903220071
8981,ENSGALG00000006110,PLK1,polo like kinase 1 [Source:NCBI gene;Acc:416575],3194.50194214949,-1.0752398440325799,0.4745921542925833,4.38150052782937e-09,2.39436117079617e-06,5.620810339036932,4342.82991494905,4322.56944023044,2150.9402019682398,1961.6682114502498,0.18320332953885102,-5.869106455319951
12177,ENSGALG00000038848,MSX2,msh homeobox 2 [Source:NCBI gene;Acc:395245],576.086154937868,-1.54383451037907,0.3429726618271866,1.98007299331561e-08,9.68151479363264e-06,5.014056686591659,852.3409512842751,863.4057736841401,342.654477663173,245.94341711988602,0.275010304473169,-5.613733322962441
13689,ENSGALG00000036638,TACR1,tachykinin receptor 1 [Source:NCBI gene;Acc:395677],767.7060270238491,1.7680331750061202,3.4058931491598816,3.94300219986041e-08,1.8315245218351602e-05,4.7371872622976055,475.161642804954,222.546301024468,1117.9228681282302,1255.19329613774,0.321847628094129,5.49338575361205
13923,ENSGALG00000007710,RASL11AL,ras-like protein family member 11A-like [Source:NCBI gene;Acc:422321],4432.04989785194,0.9558579081927622,1.9397327659561059,7.96424779345263e-08,3.52323152386547e-05,4.453058816871724,2979.5058222891603,3051.0082098956104,5578.49575877006,6119.189800452939,0.178068027854825,5.36793673579658
13953,ENSGALG00000043035,SHISA2,shisa family member 2 [Source:NCBI gene;Acc:395162],1361.0345529423598,-1.3540321465149399,0.39119717401157417,8.712351274709059e-08,3.67898833372941e-05,4.434271589337934,2324.1831131435197,1589.22068075979,871.2925066243511,659.441911241766,0.253008915119434,-5.35171713564228
13993,ENSGALG00000016293,BMP5,bone morphogenetic protein 5 [Source:NCBI gene;Acc:396053],2149.2414113271398,1.40670441827534,2.651308260565101,1.03282674148445e-07,4.17172192538721e-05,4.379684648063043,1529.7887036647303,825.545199650931,3009.09256638132,3232.53917561157,0.264375807691941,5.32085152025136
14537,ENSGALG00000014994,CRHBP,corticotropin releasing hormone binding protein [Source:NCBI gene;Acc:427214],3598.98933395948,1.10490188651184,2.1508425034061163,1.1623514393429599e-07,4.49926869645671e-05,4.346858069980928,2573.88002965078,1995.5292801405603,5430.92185393578,4395.626172110789,0.20849882843052997,5.29931940063624
14953,ENSGALG00000003661,SETX,senataxin [Source:NCBI gene;Acc:417170],1024.8129779968901,1.32253035575377,2.501043856420382,1.97818889429689e-07,7.350949931207242e-05,4.133656535307052,465.67948141860296,704.576048471656,1512.12713446639,1416.8692476309,0.254265499006757,5.2013755736425
15761,ENSGALG00000028354,METRNL,"meteorin, glial cell differentiation regulator-like [Source:NCBI gene;Acc:417332]",2411.52148643195,-0.999806309743669,0.5000671324338992,3.0003363336493103e-07,0.000107204325152316,3.969787692703958,3467.31034694258,2963.2824895747603,1652.6255781099899,1562.86753110047,0.195144095908012,-5.123425872002611
15842,ENSGALG00000017119,TNFRSF19,TNF receptor superfamily member 19 [Source:NCBI gene;Acc:418943],14473.879629698798,0.877194838855976,1.8368003714223873,4.0711853254139204e-07,0.000140078932122575,3.8536271777115947,10774.8960553576,9634.13094849907,19734.472040990502,17752.0194739481,0.17316705719604802,5.06559880995654
15927,ENSGALG00000005769,WEE1,WEE1 G2 checkpoint kinase [Source:NCBI gene;Acc:423045],2040.26720029749,-0.9684046051021141,0.5110709149137496,6.518361484379949e-07,0.000208812338585827,3.6802438427319473,2824.63051964542,2576.3658915280703,1339.28372537966,1420.7886646367901,0.19464675152656802,-4.97519017146265
16481,ENSGALG00000016906,SPRY2,sprouty RTK signaling antagonist 2 [Source:NCBI gene;Acc:395584],856.3636514497431,-1.14460224826022,0.4523143748896965,1.26255481143786e-06,0.000335118119950221,3.4748020890801596,1265.34175833426,1093.33950378826,567.047675424897,499.725668251561,0.236216744663851,-4.845559318366901
17697,ENSGALG00000001141,HES5-1,hes family bHLH transcription factor 5 [Source:NCBI gene;Acc:419392],34127.9520386035,1.1548301377533001,2.226581064399198,2.35239330903275e-06,0.000590641455159843,3.228676074615539,26924.0704698018,15385.2444870069,53427.818231032405,40774.674966572995,0.24464030924192603,4.7205227189738395
18726,ENSGALG00000004882,PPCS,phosphopantothenoylcysteine synthetase [Source:NCBI gene;Acc:100859789],2266.62509096586,-1.09764686438595,0.46727803740498985,2.43805305392626e-06,0.000596039812394078,3.224724730653061,3744.4001741215297,2435.08131037976,1421.15691915758,1465.86196020458,0.23288569929323397,-4.7132428814526
18771,ENSGALG00000004506,URI1,"URI1, prefoldin like chaperone [Source:NCBI gene;Acc:415759]",1165.4060146464099,-1.00384225765199,0.4986701466228544,2.9818914312374e-06,0.000710301830671678,3.1485570660127493,1588.7888189575901,1521.81039040798,733.8264034910429,817.198445729023,0.214860589567035,-4.67206321864251
19043,ENSGALG00000001603,NARF,nuclear prelamin A recognition factor [Source:NCBI gene;Acc:417341],1508.76235329987,1.1115020390353898,2.160704885941387,3.2408416754419602e-06,0.0007343272967038,3.1341103277264137,762.787204857621,1145.97493598077,2021.56034019571,2104.7269321654003,0.23877932277062502,4.65493421347505
19083,ENSGALG00000000436,RABIF,RAB interacting factor [Source:NCBI gene;Acc:421170],521.994765041383,-1.2770779624234398,0.4126304053402691,3.22551400570205e-06,0.0007343272967038,3.1341103277264137,760.680057882876,717.504049361044,266.845964905834,342.948988015777,0.274291752462045,-4.65591090858687
19150,ENSGALG00000003861,HERC4,HECT and RLD domain containing E3 ubiquitin protein ligase 4 [Source:NCBI gene;Acc:423683],771.656763347737,1.1888623178912598,2.2797289714291358,5.225343758148539e-06,0.00112891729100465,2.947337875060042,401.411498688886,539.282322814479,1186.6559196948801,959.277312192702,0.260971190549339,4.55553088212047
19159,ENSGALG00000000189,YTHDC2,YTH domain containing 2 [Source:NCBI gene;Acc:415602],899.0554159219929,1.00071581858603,2.000992581492441,8.353205187217951e-06,0.00176366536793761,2.7535838129935426,587.894005953802,610.386327706114,1192.72060071547,1205.22072931259,0.22458091502686103,4.4559254666245405
19539,ENSGALG00000042210,RABEPK,Rab9 effector protein with kelch motifs [Source:NCBI gene;Acc:772357],1453.6843137259302,-1.09624360473547,0.46773276372946093,1.0388857183191e-05,0.00214472184959654,2.6686290237675023,2419.00472700704,1543.04924901198,889.486549686113,963.1967291985969,0.248642347321303,-4.4089175337412305
19652,ENSGALG00000031427,FMN2L,formin-2-like [Source:NCBI gene;Acc:107053055],774.588150374433,1.19918639290603,2.2961014596147598,1.28151240313879e-05,0.00248026046357486,2.605502709515084,361.37570616873495,578.0663254826429,1066.37307945324,1092.53749039312,0.27483862228320605,4.36323826303545
19851,ENSGALG00000014930,ENC1,ectodermal-neural cortex 1 [Source:NCBI gene;Acc:427203],3756.8295143569,1.13691912833895,2.1991090219981135,1.46043543705673e-05,0.0027134890420514,2.5664719279029016,3093.2917589253802,1604.91896755405,4979.10311790204,5350.004213046121,0.262290937675272,4.33457266353024
20027,ENSGALG00000026722,UNC119B,unc-119 lipid binding chaperone B [Source:NCBI gene;Acc:416970],592.111262365906,-1.20193308627607,0.43469244107325455,1.6646924362176998e-05,0.00297403706393508,2.526653623385625,956.644726534143,694.418333487137,324.46043460141203,392.921554840933,0.27915021178291305,-4.30568574030234
20087,ENSGALG00000014513,CDCA3,cell division cycle associated 3 [Source:NCBI gene;Acc:770517],4486.09125075061,-0.8948459606969321,0.5378046145884098,1.72452718400667e-05,0.00299580278207631,2.523486780250001,6831.370492122671,4837.8426185360495,3079.84717828817,3195.30471405557,0.208207187507853,-4.2978629672099
20088,ENSGALG00000006020,BTBD1,BTB domain containing 1 [Source:NCBI gene;Acc:415461],2612.2816258812804,-0.868333533429538,0.5477792287330835,1.74137083134683e-05,0.00299580278207631,2.523486780250001,3491.54253715215,3259.70308139574,1630.38841436784,2067.4924706094002,0.20213981931375302,-4.2957074780093
20112,ENSGALG00000040546,ZNF217,,950.449328168011,0.9752865166651759,1.9660316086969911,1.99090563467495e-05,0.00336282060838733,2.4732962997580645,588.947579441174,692.571476217224,1220.01166530811,1300.2665917055301,0.228623414341257,4.26590828185868
20120,ENSGALG00000030261,SMIM12,small integral membrane protein 12 [Source:NCBI gene;Acc:100858028],733.4859415634751,-1.02202007619261,0.4924263689147489,2.4358420684133e-05,0.0040408880027784895,2.3935231862931436,971.394755357357,994.532639847934,445.754055013154,522.262316035455,0.242146774446813,-4.22066359763588
20356,ENSGALG00000001956,OLFML3,olfactomedin like 3 [Source:NCBI gene;Acc:419882],4755.85536279343,0.9289580152053221,1.9039004095606111,2.78925470899151e-05,0.00424789774533297,2.371825946063154,3969.8649004192207,2581.9064633378102,5990.8940681699905,6480.75601924672,0.22170710929916895,4.190023577240351
20364,ENSGALG00000003385,LSM4,"LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:NCBI gene;Acc:420128]",953.858781353253,-1.0541925320704102,0.4815666761742165,2.70146729406237e-05,0.00424789774533297,2.371825946063154,1230.5738332509698,1344.5120924963699,731.804843150847,508.544356514824,0.251161222981927,-4.19727424303182
20721,ENSGALG00000011419,DUSP4,dual specificity phosphatase 4 [Source:NCBI gene;Acc:395642],2364.79430703391,-0.857812284230487,0.5517886611423812,3.3309045542749296e-05,0.00499098440471194,2.3018137871681654,3427.27455442243,2668.7087550237,1612.19437130608,1750.9995473834101,0.206722833754201,-4.14957684476427
22441,ENSGALG00000006743,YWHAH,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta [Source:NCBI gene;Acc:416955],16628.5454105179,-0.9228329201416909,0.5274722420492262,3.89184911552032e-05,0.00547807246714906,2.2613722269424463,26079.1045329291,17466.6526301984,9820.740132670759,13147.684346273401,0.22432570633215804,-4.11380815525108
23277,ENSGALG00000003162,FAM134C,family with sequence similarity 134 member C [Source:NCBI gene;Acc:772215],798.869795022658,-1.01106255296483,0.4961806732708397,5.13951126904006e-05,0.00702147936608562,2.153571376069575,1196.85948165505,939.126921750556,489.217602327362,570.275174357664,0.24969498727222603,-4.04919043033307
23289,ENSGALG00000015684,DNAJC25,DnaJ heat shock protein family (Hsp40) member C25 [Source:NCBI gene;Acc:431639],1103.8312846341198,-1.1295149725531002,0.45706936390789404,5.6720042588664e-05,0.0076366550094012905,2.117096828475253,1950.1645251263199,1080.41150289887,711.5892397488901,673.159870762397,0.28055119089016306,-4.026056595836399
23305,ENSGALG00000035108,KDM7A,lysine demethylase 7A [Source:NCBI gene;Acc:418110],600.610652346383,1.03845108278748,2.054021215212526,5.99998595829578e-05,0.00785068585247434,2.105092400715422,371.91144104245905,414.61945709537804,740.9018646817281,875.0098465659689,0.25878392696707697,4.01281136335639
24075,ENSGALG00000052355,PDE12,phosphodiesterase 12 [Source:NCBI gene;Acc:107054443],571.414404432852,-1.13352642378543,0.45580023584624335,6.2886340027818e-05,0.00811408470636708,2.0907604628239795,915.555360526619,654.710902184016,323.449654431314,391.94170058945997,0.283260510411315,-4.00171002353792
24299,ENSGALG00000002605,MRPL17,mitochondrial ribosomal protein L17 [Source:NCBI gene;Acc:769700],3300.28291975128,-1.04577812089071,0.4843835845998752,6.623369170189871e-05,0.00831501345825188,2.0801370435172464,5832.58282609363,3061.16592488013,2143.86474077755,2163.51818725382,0.262137564587548,-3.98942487520306
24401,ENSGALG00000020788,CCDC141,coiled-coil domain containing 141 [Source:NCBI gene;Acc:770766],2841.79663768206,0.8989177698483729,1.8646666883228593,6.73007929478641e-05,0.00833632488647544,2.0790253682223265,1694.14616769483,2273.48129926241,3160.70959189599,4238.84949187501,0.225539589190367,3.9856318488265097
24441,ENSGALG00000009224,TTC30B,tetratricopeptide repeat domain 30B [Source:NCBI gene;Acc:429016],896.314341333791,-0.9075473154094659,0.5330906133925014,6.96985132173332e-05,0.00851972615511875,2.0695743642981057,1177.89515888235,1160.74979414007,584.23093831656,662.381473996187,0.22818103757022798,-3.97731259824844
25761,ENSGALG00000008425,MAP1A,microtubule associated protein 1A [Source:NCBI gene;Acc:415588],1168.2451700180802,0.8747514797827409,1.8336921853906583,7.6202148583524e-05,0.00896098683975871,2.0476441604872093,906.0731991402679,743.360051139821,1495.95465174483,1527.59277804742,0.22111791094400102,3.95604081120446
26225,ENSGALG00000015892,IRAK1BP1,interleukin 1 receptor associated kinase 1 binding protein 1 [Source:NCBI gene;Acc:421857],740.3906690601781,-1.11602551425635,0.46136308698634027,0.00011611102912988602,0.0121522495238163,1.9153433216251945,1262.18103787214,764.5989097438161,512.465546239613,422.317182385143,0.28956124818458195,-3.85419499761562
26745,ENSGALG00000006860,KIF3A,kinesin family member 3A [Source:NCBI gene;Acc:416332],722.6082040995401,0.9255645546135409,1.8994273793453296,0.000132423060656026,0.0130884127926801,1.883113016335033,489.91167162816805,506.962320591008,880.3895281552319,1013.16929602375,0.24217342187404398,3.82190806675281
28726,ENSGALG00000007361,SST,somatostatin [Source:NCBI gene;Acc:396279],635.432210742256,0.966224502029063,1.9537210585650442,0.00015130837524904,0.0144602070149376,1.839825489558672,424.590115411079,435.858315699373,923.85307546944,757.427336389131,0.255013695665242,3.78891219747441
28838,ENSGALG00000004542,ZMYND8,zinc finger MYND-type containing 8 [Source:NCBI gene;Acc:419207],951.7251035584931,0.899847806691133,1.8658691377466778,0.00015482176340779,0.0145282240611957,1.8377874708748536,583.679712004312,744.2834797747771,1309.97110044682,1168.96612200806,0.237853300063642,3.78320505307415
29078,ENSGALG00000004631,DRAXIN,dorsal inhibitory axon guidance protein [Source:NCBI gene;Acc:419492],7805.24956148405,0.8807316979978879,1.8413089292328666,0.000158770819578202,0.0145294208541372,1.8377516964291074,6512.13772544883,4476.782022268139,8264.13867072007,11967.9398274991,0.23318694782990398,3.77693394160435
30538,ENSGALG00000015681,NRIP1,nuclear receptor interacting protein 1 [Source:NCBI gene;Acc:101749375],1698.61233077749,1.0178058493723698,2.0248371039922666,0.000203486286142816,0.0176671738155772,1.7528329182049824,782.805101117696,1462.71095777078,2096.3580727829503,2452.5751914385396,0.2739978840704,3.7146485741140096
34785,ENSGALG00000020454,RIOX1,"chromosome 5 open reading frame, human C14orf169 [Source:NCBI gene;Acc:423249]",533.5425347758401,-1.03421703716944,0.4882808026253045,0.000286413117424648,0.0223594778224788,1.6505383430693388,800.715850403027,633.472043580021,300.201710519063,399.78053460124903,0.285121244800595,-3.62728858697546
35199,ENSGALG00000002706,XRN1,5'-3' exoribonuclease 1 [Source:NCBI gene;Acc:424778],719.154084994068,1.15374996432539,2.2249146044145833,0.000318424684652687,0.0240501245562883,1.618882670060685,293.947002976901,597.458326816726,897.5727910468961,1087.63821913575,0.320501191922747,3.59983049486907
35738,ENSGALG00000046862,UBE2Q2,ubiquitin conjugating enzyme E2 Q2 [Source:NCBI gene;Acc:415356],771.1593001548241,-0.8906977267623779,0.5393532092090372,0.000341884288370359,0.0248554678692705,1.6045780574644306,1115.73432312738,888.3383468279599,505.390085048928,575.1744456150319,0.24870769516318,-3.58130345013242
35748,ENSGALG00000026906,TMEM189,transmembrane protein 189 [Source:NCBI gene;Acc:100538348],664.767573432579,-0.908866230440284,0.5326034834638372,0.000372385695903857,0.0265815046039054,1.5754204401472478,919.769654476109,815.3874846664121,413.40908957002296,510.504065017771,0.255377116923274,-3.55891804790538
35750,ENSGALG00000032465,ATP8,ATP synthase F0 subunit 8 [Source:NCBI gene;Acc:39116937],2130.0084124869,0.8530238799323321,1.8062829182069826,0.000377691992219109,0.0265815046039054,1.5754204401472478,1600.37812731868,1435.93152735704,2128.70303822608,3355.0209570457696,0.239936974668878,3.55519978156571
37245,ENSGALG00000039774,YTHDF3,YTH N6-methyladenosine RNA binding protein 3 [Source:NCBI gene;Acc:421145],831.15053020511,-0.873341687650785,0.5458809712041491,0.00047132341389306506,0.030406906354628997,1.517027763396113,1234.78812720046,916.041205876649,605.4573218886151,568.3154658547161,0.24977269408827302,-3.49654589281138
37257,ENSGALG00000049667,TAFA1,"family with sequence similarity 19 member A1, C-C motif chemokine like [Source:NCBI gene;Acc:416089]",677.7985228603401,0.8596930562448559,1.8146521892447471,0.00046933873080579297,0.030406906354628997,1.517027763396113,502.55455347663695,460.790888843193,921.8315151292439,826.0171339922861,0.24579010364973,3.4976715639861
38339,ENSGALG00000002769,DNAJC12,DnaJ heat shock protein family (Hsp40) member C12 [Source:NCBI gene;Acc:423647],512.526088206966,-1.03698227237971,0.48734580384112863,0.0004940997582273599,0.0310147753644066,1.5084313600205994,836.537348973689,542.052608719348,330.525115621999,340.98927951282997,0.297646861656344,-3.48393484348908
38443,ENSGALG00000028318,CDKN1A,cyclin dependent kinase inhibitor 1A [Source:NCBI gene;Acc:378914],923.8886230020698,-0.851326278116198,0.5542749534913569,0.000490745965980825,0.0310147753644066,1.5084313600205994,1035.6627380870698,1341.7418065914999,712.600019918988,605.549927410715,0.24422993262472897,-3.4857573310815297
38509,ENSGALG00000014874,MRPS30,mitochondrial ribosomal protein S30 [Source:NCBI gene;Acc:395781],1738.70064403715,-0.8958053706133409,0.5374470868095998,0.0005187961573041639,0.0320501695758343,1.494169668308837,2856.23772426659,1667.71211473108,1275.60457466349,1155.2481624874301,0.258093269240964,-3.47085909387659
38579,ENSGALG00000008293,SH3PXD2A,SH3 and PX domains 2A [Source:NCBI gene;Acc:423876],830.864442714298,1.04325770609152,2.0608760050386303,0.0005209446292735179,0.0320501695758343,1.494169668308837,375.07216150457606,710.116620281394,1034.02811401011,1204.2408750611098,0.30067237056263396,3.4697491629820196
39081,ENSGALG00000037220,ASTL,astacin like metalloendopeptidase [Source:NCBI gene;Acc:423176],13654.5958598708,0.8760090096417159,1.8352912259948777,0.000531666296017418,0.0322822215032798,1.4910365869171525,7403.460895765891,11859.5939587437,21624.6309590735,13730.6976259002,0.252869495163672,3.46427317804669
39354,ENSGALG00000009453,MTARC1,mitochondrial amidoxime reducing component 1 [Source:NCBI gene;Acc:428563],750.580266681931,-0.857292441117423,0.5519875217555299,0.000549101058450876,0.0329317213170413,1.4823855684391662,1069.3770896829901,865.2526309540519,565.026115084701,502.665231005982,0.24808898245444896,-3.4555844948689995
40757,ENSGALG00000013776,CEP135,centrosomal protein 135 [Source:NCBI gene;Acc:422746],598.152392631957,0.90359137064109,1.8707170581781531,0.0006542654703804389,0.0373588591200128,1.427606394900414,360.322132681362,472.795461097625,786.386972336131,773.105004412709,0.265133658198818,3.4080598320847897
40887,ENSGALG00000040465,ZEB2,zinc finger E-box binding homeobox 2 [Source:NCBI gene;Acc:424306],1147.43360725492,0.875514663198288,1.834662462297706,0.00066634787348388,0.0373588591200128,1.427606394900414,987.198357667943,632.548614945065,1378.7041520134699,1591.2833043932098,0.257272501200218,3.40306351869659
41847,ENSGALG00000002649,UBE4B,ubiquitination factor E4B [Source:NCBI gene;Acc:419448],901.953211890605,-0.8599749229155309,0.5509621347397229,0.000665193864421084,0.0373588591200128,1.427606394900414,1355.94907824828,970.52349533907,598.3818606979299,682.958413277133,0.25267094357796804,-3.40353706974686
42204,ENSGALG00000014935,GREB1L,GREB1 like retinoic acid receptor coactivator [Source:NCBI gene;Acc:421064],745.1316516601711,1.09345374967088,2.133842582285567,0.0006847909375916059,0.0374009324376175,1.427117570327219,308.69703180011396,641.782901294628,921.8315151292439,1108.2151584167,0.322021057225375,3.39559704291511
42233,ENSGALG00000008124,BORCS7,BLOC-1 related complex subunit 7 [Source:NCBI gene;Acc:423869],579.507651651612,-0.862623602031701,0.5499515378527833,0.000683327427022747,0.0374009324376175,1.427117570327219,759.626484395504,735.97262206017,395.215046508261,427.216453642511,0.253997999763107,-3.39618265827381
42441,ENSGALG00000000225,MGAT4C,"mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme C (putative) [Source:NCBI gene;Acc:395415]",665.768911509061,0.9079736039019279,1.8764080612105518,0.000694351409545818,0.0374009324376175,1.427117570327219,398.250778226769,527.277750560047,777.289950805251,960.257166444176,0.26769669301962,3.39179985251211
43322,ENSGALG00000032273,POLR1B,"polymerase (RNA) I polypeptide B, 128kDa [Source:NCBI gene;Acc:101749883]",847.1802081643981,-0.869078541297532,0.5474964285081548,0.0007724413233047019,0.0400700222780134,1.3971804161094614,890.269596829682,1299.26408938351,603.43576154842,595.751384895979,0.25846312043455605,-3.3624856801092005
56346,ENSGALG00000043825,NISCH,nischarin [Source:NCBI gene;Acc:415893],688.9031977544189,-0.8613199766219599,0.5504487010002228,0.000842128426375475,0.0419448110884706,1.3773217572435668,940.841124223557,836.626343270407,424.527671441099,553.617652082612,0.25799120784437696,-3.3385632937596696
61423,ENSGALG00000013715,DLC1,DLC1 Rho GTPase activating protein [Source:NCBI gene;Acc:422740],3087.17135245045,0.898325317549545,1.863901107771017,0.00111805440105554,0.0468198770034071,1.329569731536698,2797.23760897373,1515.34638996329,3276.9493114572497,4759.15209940751,0.27564441798894,3.25900057800405
62023,ENSGALG00000010889,HOOK1,hook microtubule tethering protein 1 [Source:NCBI gene;Acc:424675],759.3364965451519,0.8899027360310922,1.8530511901087354,0.00111908893950581,0.0468198770034071,1.329569731536698,638.465533347677,426.62402934981003,890.497329856211,1081.75909362691,0.273081998862768,3.25873818024269
62882,ENSGALG00000004413,SLC39A11,solute carrier family 39 member 11 [Source:NCBI gene;Acc:771533],544.621457372973,-0.918420980832314,0.5290877862066449,0.00116909671442155,0.0483275983590344,1.315804786597823,837.5909224610609,587.300611832206,387.128805147479,366.465490051145,0.28291190628208,-3.24631434887931
